"wordFeatures","Prop","Index","Model","N","Mean","SD","SE"
"Gustatory",40,"KL divergence (log)","Llama-3.1-70B",5,2.48642168929557,0.072644459559312,0.0324875899526712
"Gustatory",50,"Correlation coefficient","Gpt-4o",5,0.569518093586592,0.0343829990431913,0.0153765446261772
"Gustatory",50,"Correlation coefficient","Llama-3.1-70B",5,0.586392315053354,0.0282967163997604,0.0126546762819795
"Gustatory",50,"KL divergence (log)","Gpt-4o",5,2.23397494658837,0.440650479506657,0.197064885298952
"Gustatory",50,"KL divergence (log)","Llama-3.1-70B",5,2.43590301669945,0.115972619432032,0.0518645321157473
"Haptic",10,"Correlation coefficient","Gpt-4o",5,0.713571725188548,0.010340139138107,0.00462425080192266
"Haptic",10,"Correlation coefficient","Llama-3.1-70B",5,0.647617169743817,0.0546852754978365,0.0244559986762932
"Haptic",10,"KL divergence (log)","Gpt-4o",5,0.902033032973145,0.828207123261398,0.370385485412407
"Haptic",10,"KL divergence (log)","Llama-3.1-70B",5,2.80032382138374,0.505539851887972,0.226084294831336
"Haptic",20,"Correlation coefficient","Gpt-4o",5,0.711729360237823,0.0279185996940093,0.0124855773504819
"Haptic",20,"Correlation coefficient","Llama-3.1-70B",5,0.685969130188469,0.0473969951308772,0.0211965806083736
"Haptic",20,"KL divergence (log)","Gpt-4o",5,1.36612288493009,0.94468348720837,0.422475298923894
"Haptic",20,"KL divergence (log)","Llama-3.1-70B",5,2.58009910952362,0.505722555145457,0.226166002212025
"Haptic",30,"Correlation coefficient","Gpt-4o",5,0.713745304603171,0.0514374853436188,0.0230035427639961
"Haptic",30,"Correlation coefficient","Llama-3.1-70B",5,0.70451500031985,0.0660020485024375,0.0295170134211377
"Haptic",30,"KL divergence (log)","Gpt-4o",5,0.965325010022207,1.36191081863233,0.609065033950853
"Haptic",30,"KL divergence (log)","Llama-3.1-70B",5,1.81782398503677,1.30869469200606,0.585266058623739
"Haptic",40,"Correlation coefficient","Gpt-4o",5,0.733645603891288,0.0466339004008158,0.0208553142704358
"Haptic",40,"Correlation coefficient","Llama-3.1-70B",5,0.706419403801481,0.049529500332215,0.0221502659268862
"Haptic",40,"KL divergence (log)","Gpt-4o",5,2.16724199515789,0.977411563257124,0.437111739487453
"Haptic",40,"KL divergence (log)","Llama-3.1-70B",5,1.38282592390561,1.47895226849303,0.661407561565587
"Haptic",50,"Correlation coefficient","Gpt-4o",5,0.774569771837026,0.0226245279868266,0.0101179965074781
"Haptic",50,"Correlation coefficient","Llama-3.1-70B",5,0.721595360045219,0.0268820660764052,0.0120220254244966
"Haptic",50,"KL divergence (log)","Gpt-4o",5,0.289057608390519,0.950524729940251,0.425087582088206
"Haptic",50,"KL divergence (log)","Llama-3.1-70B",5,0.919210036754108,0.829560197676057,0.370990598686365
"Interoceptive",10,"Correlation coefficient","Gpt-4o",5,0.54579816246556,0.0936666245463921,0.0418889879417366
"Interoceptive",10,"Correlation coefficient","Llama-3.1-70B",5,0.641137231978791,0.123732647794441,0.0553349223008817
"Interoceptive",10,"KL divergence (log)","Gpt-4o",5,1.73483640707322,0.867116270812461,0.387786185186556
"Interoceptive",10,"KL divergence (log)","Llama-3.1-70B",5,2.94150534309125,0.145870272735581,0.0652351691466385
"Interoceptive",20,"Correlation coefficient","Gpt-4o",5,0.642741205283786,0.104908231919939,0.0469163875944593
"Interoceptive",20,"Correlation coefficient","Llama-3.1-70B",5,0.642312894166035,0.169995748114954,0.0760244097341938
"Interoceptive",20,"KL divergence (log)","Gpt-4o",5,1.28941523207269,0.968775146996301,0.433249416719216
"Interoceptive",20,"KL divergence (log)","Llama-3.1-70B",5,2.06509356924652,0.891209162044787,0.398560853700554
"Interoceptive",30,"Correlation coefficient","Gpt-4o",5,0.609043704437375,0.147440588721228,0.0659374358046511
"Interoceptive",30,"Correlation coefficient","Llama-3.1-70B",5,0.67837631824464,0.0283173933071467,0.0126639232760755
"Interoceptive",30,"KL divergence (log)","Gpt-4o",5,1.66741239651278,0.826376487967997,0.369566800420796
