"category","wordFeatures","Index","Model","N","Mean","SD","SE"
"other","childBOI","KL divergence (log)","Gpt-4o",1,1.71138782737122,NA,NA
"other","childBOI","KL divergence (log)","Llama-3.1-70B",1,2.92122988287957,NA,NA
"other","iconicity","Correlation coefficient","Gpt-4o",1,0.116572597584805,NA,NA
"other","iconicity","Correlation coefficient","Llama-3.1-70B",1,-0.146404865711939,NA,NA
"other","iconicity","KL divergence (log)","Gpt-4o",1,3.32087865579462,NA,NA
"other","iconicity","KL divergence (log)","Llama-3.1-70B",1,3.38641597706338,NA,NA
"other","babiness","Correlation coefficient","Gpt-4o",1,0.600358572539141,NA,NA
"other","babiness","Correlation coefficient","Llama-3.1-70B",1,0.69356096255585,NA,NA
"other","babiness","KL divergence (log)","Gpt-4o",1,2.8169086113347,NA,NA
"other","babiness","KL divergence (log)","Llama-3.1-70B",1,2.93012181318347,NA,NA
"other","valence","Correlation coefficient","Gpt-4o",1,0.674271177932496,NA,NA
"other","valence","Correlation coefficient","Llama-3.1-70B",1,0.461614651447968,NA,NA
"other","valence","KL divergence (log)","Gpt-4o",1,0.0416192979690101,NA,NA
"other","valence","KL divergence (log)","Llama-3.1-70B",1,1.51908536826571,NA,NA
"other","arousal","Correlation coefficient","Gpt-4o",1,0.135173332195152,NA,NA
"other","arousal","Correlation coefficient","Llama-3.1-70B",1,0.285033466943615,NA,NA
"other","arousal","KL divergence (log)","Gpt-4o",1,2.19929172925819,NA,NA
"other","arousal","KL divergence (log)","Llama-3.1-70B",1,2.79034808222023,NA,NA
"other","dominance","Correlation coefficient","Gpt-4o",1,0.418399935423035,NA,NA
"other","dominance","Correlation coefficient","Llama-3.1-70B",1,0.189536062674069,NA,NA
"other","dominance","KL divergence (log)","Gpt-4o",1,2.59690751690254,NA,NA
"other","dominance","KL divergence (log)","Llama-3.1-70B",1,1.43726609357997,NA,NA
"other","Auditory","Correlation coefficient","Gpt-4o",1,0.771165127410187,NA,NA
"other","Auditory","Correlation coefficient","Llama-3.1-70B",1,0.584864766056826,NA,NA
"other","Auditory","KL divergence (log)","Gpt-4o",1,2.79425558630845,NA,NA
"other","Auditory","KL divergence (log)","Llama-3.1-70B",1,2.75287804093751,NA,NA
"other","Gustatory","Correlation coefficient","Gpt-4o",1,0.542383536126265,NA,NA
"other","Gustatory","Correlation coefficient","Llama-3.1-70B",1,0.491308880001521,NA,NA
"other","Gustatory","KL divergence (log)","Gpt-4o",1,2.62702657012068,NA,NA
"other","Gustatory","KL divergence (log)","Llama-3.1-70B",1,2.53766954122365,NA,NA
"other","Haptic","Correlation coefficient","Gpt-4o",1,0.561029719700683,NA,NA
"other","Haptic","Correlation coefficient","Llama-3.1-70B",1,0.24865774441087,NA,NA
"other","Haptic","KL divergence (log)","Gpt-4o",1,1.50270027017837,NA,NA
"other","Haptic","KL divergence (log)","Llama-3.1-70B",1,2.72886237177932,NA,NA
