"category","wordFeatures","Prop","Index","Model","N","Mean","SD","SE"
"function_words","arousal",20,"Correlation coefficient","Gpt-4o",5,0.555516878314493,0.16517716774252,0.073869475080632
"function_words","arousal",20,"Correlation coefficient","Llama-3.1-70B",5,0.416597944074247,0.383906325752733,0.171688128275058
"function_words","arousal",20,"KL divergence (log)","Gpt-4o",5,3.05595911697686,0.401970595558614,0.179766715325027
"function_words","arousal",20,"KL divergence (log)","Llama-3.1-70B",5,2.73265094422566,0.610792417737575,0.273154673240533
"function_words","arousal",30,"Correlation coefficient","Gpt-4o",5,0.213580094171626,0.47872545141398,0.214092530384186
"function_words","arousal",30,"Correlation coefficient","Llama-3.1-70B",5,0.435858397790116,0.219227364017964,0.0980414576944517
"function_words","arousal",30,"KL divergence (log)","Gpt-4o",5,3.0632592946146,0.348208143456019,0.155723415817331
"function_words","arousal",30,"KL divergence (log)","Llama-3.1-70B",5,2.46236808238767,0.620129337992792,0.277330270918765
"function_words","arousal",40,"Correlation coefficient","Gpt-4o",5,0.193645856871867,0.660651145445752,0.29545217412596
"function_words","arousal",40,"Correlation coefficient","Llama-3.1-70B",5,0.482350521875612,0.299302228997801,0.133852025971258
"function_words","arousal",40,"KL divergence (log)","Gpt-4o",5,3.19909000841249,0.00941124802986908,0.00420883806957965
"function_words","arousal",40,"KL divergence (log)","Llama-3.1-70B",5,2.57855460395123,0.180725534738345,0.0808229161889876
"function_words","arousal",50,"Correlation coefficient","Gpt-4o",5,0.507703317938171,0.216077173170125,0.0966326495188786
"function_words","arousal",50,"Correlation coefficient","Llama-3.1-70B",5,0.454324647677509,0.555565531515006,0.248456458884671
"function_words","arousal",50,"KL divergence (log)","Gpt-4o",5,2.98138192190921,0.553925667516569,0.247723089409799
"function_words","arousal",50,"KL divergence (log)","Llama-3.1-70B",5,2.98018822740066,0.22943225448781,0.102605223453155
"function_words","dominance",10,"Correlation coefficient","Gpt-4o",5,0.449759820856683,0.415995961415905,0.186039049618269
"function_words","dominance",10,"Correlation coefficient","Llama-3.1-70B",5,0.422681747891235,0.204305820188836,0.0913683404282171
"function_words","dominance",10,"KL divergence (log)","Gpt-4o",5,2.7866549979097,0.208747689078701,0.0933548045851934
"function_words","dominance",10,"KL divergence (log)","Llama-3.1-70B",5,3.07122596290951,0.275559016458091,0.123233738522655
"function_words","dominance",20,"Correlation coefficient","Gpt-4o",5,0.389490814573091,0.26195590690087,0.11715024298759
"function_words","dominance",20,"Correlation coefficient","Llama-3.1-70B",5,0.292667982771098,0.181705806097237,0.0812613068679633
